vehicle_id,vehicle_001
vin,
year,
make,
model,
color,
customer_or_insured,
notes,
final_route,YELLOW - Manual Review Required
average_confidence,79.45%
reason,"No confirmed red route, but at least one panel requires review."

slot,filename,image_route,top_confidence,green_pdr,yellow_review,red_conventional,red_minus_green,decision_reason
Roof,Roof_images.jpg,RED - Likely Conventional Repair,98.17%,0.03%,1.80%,98.17%,98.14%,"Red accepted: top class 98.17%, red-green margin 98.14%."
Hood,Hood_images.jpg,YELLOW - Manual Review Required,47.94%,47.94%,43.38%,8.68%,-39.26%,Confidence below yellow threshold (47.94%).
Decklid,Decklid_images.jpg,GREEN - PDR Candidate,92.24%,92.24%,7.76%,0.01%,-92.23%,"Top class accepted (green_pdr, 92.24%)."
